slug,title,category,date,lang,draft,published,shown_on_blog
innovative-anonymization-how-deeping-source-enhances-ml-model-performance-2,Innovative Anonymization: How Deeping Source Enhances ML Model Performance,insight,2024-01-19,en,false,true,true
why-plus-insight-is-the-plus-your-business-needs-transforming-data-into-decisions-ko,PLUS INSIGHT가 비즈니스에 필요한 플러스인 이유: 데이터를 의사결정으로 변환,insight,2024-01-18,ko,false,true,true
why-plus-insight-is-the-plus-your-business-needs-transforming-data-into-decisions,Why PLUS INSIGHT Is the Plus Your Business Needs: Transforming Data into Decisions,insight,2024-01-18,en,false,true,true
enhancing-holiday-retail-strategy-with-advanced-vision-ai-technology-ko,고급 비전 AI 기술을 통한 홀리데이 리테일 전략 강화,insight,2023-12-15,ko,false,true,true
enhancing-holiday-retail-strategy-with-advanced-vision-ai-technology,Enhancing Holiday Retail Strategy with Advanced Vision AI Technology,insight,2023-12-15,en,false,true,true
enhancing-retail-strategy-with-ab-test-ko,A/B 테스트를 통한 리테일 전략 강화,insight,2023-12-08,ko,false,true,true
enhancing-retail-strategy-with-ab-test,Enhancing Retail Strategy with AB Test,insight,2023-12-08,en,false,true,true
navigating-the-privacy-ai-paradox-with-seal-ko,SEAL을 통한 프라이버시-AI 패러독스 탐색,insight,2023-11-21,ko,false,true,true
navigating-the-privacy-ai-paradox-with-seal,Navigating the Privacy-AI Paradox with SEAL,insight,2023-11-21,en,false,true,true
setting-ourselves-apart-actionable-insights-redefining-retail-with-computer-vision-ai-ko,컴퓨터 비전 AI로 리테일 비즈니스를 재정의하는 실행 가능한 인사이트,insight,2023-11-21,ko,false,true,true
setting-ourselves-apart-actionable-insights-redefining-retail-with-computer-vision-ai,Setting Ourselves Apart: Actionable Insights Redefining Retail with Computer Vision AI,insight,2023-11-21,en,false,true,true
why-anonymized-ai-ko,익명화된 AI를 선택해야 하는 이유,insight,2023-11-14,ko,false,true,true
why-anonymized-ai,Why Anonymized AI,insight,2023-11-14,en,false,true,true
the-birth-of-deeping-source-ko,딥핑소스의 탄생!,insight,2023-11-13,ko,false,true,true
the-birth-of-deeping-source,The Birth of Deeping Source!,insight,2023-11-13,en,false,true,true
